"VARIABLE1_LABEL","VARIABLE2_LABEL","EFFECT","EFFECT_L95","EFFECT_U95","N","P","P_FDR"
"atc_c09ba02","atc_c10aa02",2.54508774772444,1.56185338622395,4.14729813998575,24722,0.000177,0.000738172151898734
"atc_r03ak06","atc_c10aa02",1.78808315741356,1.17376985809409,2.72390823105439,10830,0.00681,0.0184209195402299
"atc_a11cc03","atc_c10aa02",1.92439712452403,0.613438637446849,6.03695963509833,494,0.262,0.384900118906064
"atc_b01ac04","atc_c10aa02",1.83786892996042,1.15771385718705,2.91761403972563,7558,0.00985,0.0252351995852773
"atc_c08db01","atc_c10aa02",1.02707442028488,0.508625869741134,2.07398389967937,32193,0.941,0.962448625180897
"atc_j01ma14","atc_c10aa02",1.15551648922945,0.160422153154015,8.32315444363383,157,0.886,0.92865577942736
"atc_c09ba02","atc_g04ca02",1.44264746825537,1.10735219309511,1.87946683145717,43962,0.00662,0.0179462643993417
"atc_b02aa02","atc_g04ca02",0.592063321328195,0.366114366782506,0.957457582292624,1425,0.0326,0.0705381786339755
"atc_r03ak06","atc_g04ca02",1.16102744274203,1.01874978955439,1.32317546135612,58083,0.0252,0.0573645324735145
"atc_b01ac04","atc_g04ca02",0.858602670888454,0.711768072663831,1.03572859583007,29673,0.111,0.19268071654373
"atc_a10ae04","atc_g04ca02",0.920890065106334,0.774135368338139,1.09546540139622,23669,0.352,0.484969054920546
"atc_a10ab05","atc_c10aa02",2.26716812665072,1.24090014153243,4.1421957677862,2875,0.00777,0.020633713057496
"atc_n03ag01","atc_c10aa02",1.41678423511027,0.630622174926709,3.18301139519915,2306,0.399,0.534234082904362
"atc_b03ba03","atc_g04ca02",1.06069055517383,0.908833351596763,1.23792161880757,41234,0.455,0.587564672066893
"atc_a11cc03","atc_g04ca02",0.964274642128535,0.671788001064168,1.3841056761645,3126,0.844,0.89757865289434
"atc_c08db01","atc_g04ca02",2.1901556068855,1.62776524608647,2.94685096263396,27900,2.25e-07,1.49255033557047e-06
"atc_n03ag01","atc_g04ca02",0.814294305249982,0.607773060456383,1.09099145504186,9284,0.169,0.273029748283753
"atc_a10ae04","atc_a02bc03",0.870601946355567,0.696627454414707,1.08802451610942,13125,0.223,0.340038876889849
"atc_c08ca05","atc_a10bh01",2.84218176124926,1.59484055845879,5.06508134693056,2364,0.000395,0.00152985109717868
"atc_a02bc03","atc_a10bh01",0.748507454253304,0.503665356255685,1.1123723363422,5826,0.152,0.249562790697674
"atc_a10ae04","atc_c07ab02",1.32099297850408,1.16643765361851,1.49602719343267,63184,1.16e-05,5.94064248704663e-05
