"VARIABLE1_LABEL","EFFECT","EFFECT_L95","EFFECT_U95","N","P","P_FDR"
"M01AC05",0.00815833237132033,7.61797480577577e-26,8.73701853548671e+20,53,0.859,0.978388059701493
"L01XE03",0.00110407046528966,1.92326534051284e-23,63380312983744792,532,0.769,0.978388059701493
"H01CB03",3.24679386933287,0.809850544975808,13.0168097006743,532,0.0965,0.229027777777778
"N07AA02",1.22987233077201,0.713754035432029,2.11919775568487,9108,0.456,0.77134328358209
"L03AB05",1.2937853753953,0.32321921956224,5.17877804374941,1332,0.716,0.978388059701493
"R03BC01",0.786880091392335,0.253682584375324,2.44076777976027,3283,0.678,0.978388059701493
"C10AB04",0.416398069607668,0.156788622741789,1.10586692670003,8267,0.0787,0.19675
"N04BC09",1.33182658171522,0.187315115768478,9.46940152953601,647,0.775,0.978388059701493
"N03AG06",2.79342193975748,0.392226287963257,19.8946536042721,309,0.305,0.580952380952381
"N02CC05",0.681723234102817,0.0960205591056012,4.84007354512992,1263,0.702,0.978388059701493
"G04BE08",0.00300122556370671,1.15965124114123e-20,776729637729910,252,0.776,0.978388059701493
"B03BA01",0.000406140946472633,3.41178089230881e-22,483473217091796,1728,0.713,0.978388059701493
"C08CA06",0.00110407731943714,2.1919582659964e-26,55611767167537487872,403,0.798,0.978388059701493
"G03HB01",0.000406157098181203,3.76859180941762e-29,4.37732704270954e+21,901,0.791,0.978388059701493
"R06AE03",0.00040614938436452,5.45344009963608e-25,302483055476647744,1296,0.75,0.978388059701493
"L01AX03",0.00815830879064047,1.37895180254444e-18,48267098386346,113,0.795,0.978388059701493
"H01CB02",1.90783991287918,0.793253309811965,4.58851301110565,2260,0.149,0.325787781350482
"G04BE09",0.00300122658123888,6.56633040079253e-21,1371749583427547,245,0.779,0.978388059701493
"N04BC02",0.00040613680514434,3.5414654854273e-21,46575945797464.1,1940,0.697,0.978388059701493
"A02BB01",1.35920904795208,0.437953158639415,4.21837175869276,1902,0.595,0.947540983606557
"R03AC18",1.01877136794042,0.254578946255429,4.07690861872702,1691,0.979,0.983338257016248
"R03CC03",8.02308393125543,2.99727037115406,21.4761659099791,433,3.4e-05,0.000149161290322581
"N07BC02",0.000406155457505101,4.64873877626643e-28,3.5485378637185e+20,985,0.781,0.978388059701493
"G02BA03",0.0030012297654558,9.26167935803414e-22,9725428571703120,223,0.789,0.978388059701493
